id,text,source,created_at,place
8.22956E+17,@PeteS77252077 @solfloras @jayrosen_nyu it's WH's JOB to hold press accountable under the new Glorious Administration. #MAGA,Twitter for iPhone,1/21/17 23:57,
8.22956E+17,@Conservative_VW @StevenLovesUSA1 they aren't dems they are anarchists #noanarchy #Unity #UnitedweStand #MAGA @realDonaldTrump #WomensMarch,Twitter for iPhone,1/21/17 23:57,
8.22956E+17,The spirit of America is taking a stand again. The world will follow your lead in the face of Globalism as you #MAGA ! #Inauguration,Twitter for iPhone,1/21/17 23:57,
8.22956E+17,All the Trump supporters couldn't make the inauguration because they were at work _Ù÷_ #Yourehired #Trump #MAGA https://t.co/LYYQp4Xlsb,Twitter for iPhone,1/21/17 23:57,
8.22956E+17,@JeffMontes5 @PressSec This is great to see. It's a whole new country since @realDonaldTrump became our president. #MAGA,Twitter Web Client,1/21/17 23:57,
8.22956E+17,@zerohedge It seems bizarre because we no longer have any expectation of honesty from the Press.  #NewNormal  #MAGA,Twitter Web Client,1/21/17 23:57,
8.22956E+17,"@WhiteHouse @realDonaldTrump @POTUS All things are possible for those who trust in the Lord.We are behind you! Let's go #MAGA",Twitter for iPhone,1/21/17 23:57,
8.22956E+17,@WhiteHouse @realDonaldTrump @POTUS The Trump Train is rolling. Get on board and be part of the dream or get in the bushes and watch. #MAGA,Twitter for iPhone,1/21/17 23:57,
8.22956E+17,Prediction: 2018 #msnbc #cnn out of business ....#maga https://t.co/QQ0YeEIj6Q,Twitter for Android,1/21/17 23:57,"Little Canada, MN"
8.22956E+17,#The_Donald #Pic #TheDonald #Pictures #DonaldTrump #AmericaFirst #DrainTheSwamp #MAGA #AntiGlobalism #Trump #AltRi https://t.co/Jrr7PMO2i4,TuringRobertQApp,1/21/17 23:57,
8.22956E+17,"New Post: She‰Ûªs 54, white, rural and a lifelong Republican. W https://t.co/Xu7fsNEZfd #MAGA #draintheswamp #crookedhillary #hillaryforprison",Trumpshit365_6,1/21/17 23:57,
8.22956E+17,"History lesson, this was Iran before Shari Law was implemented 1979. #MAGA #WomensMarchOnWashington #PresidentTrump‰Û_ https://t.co/Mqyxws9NIV",Twitter for iPhone,1/21/17 23:57,
8.22956E+17,.@bubbaprog is that how many Losses she has? Lol BOOM #MAGA https://t.co/O1wvIGK0hm,Twitter for iPhone,1/21/17 23:57,
8.22956E+17,You're #vagina hats are quite something! #AmericaFirst #MAGA https://t.co/JiJnpzlDil,Twitter for iPhone,1/21/17 23:57,
8.22956E+17,"BREAKING: #Trump Press Secretary Sean Spicer announces 500,000,000 #Inauguration TV viewers on and off planet.‰Û_ https://t.co/uw3cp9nF7t",Twitter for iPad,1/21/17 23:57,
8.22956E+17,The people have spoken today. Where are all #Trump's Supporters since they weren't at the #Inauguration? #WomensMarch #TheResitance #MAGA,Twitter for iPad,1/21/17 23:57,
8.22956E+17,Personally I'm for #America number 1 thru infinity...&amp; beyond..._ÙÑ£U S A _ÙÑ£ U S A _ÙÑ£U S A..._Ùà__Ùàü_Ùà__Ùàü_Ùà__Ùàü_Ùà__Ùàü_Ùà__Ùàü_Ùà__Ùàü_Ùà__Ùàü_Ùà__Ùàü#MAGA https://t.co/TlFcfmfSR1,Twitter for iPhone,1/21/17 23:57,
8.22956E+17,"Many people are saying Spicer acted/looked demon-possessed at today's ""News Conference."" #maga #tcot #equality #nastywomen #lgbt #1m1w",Twitter Web Client,1/21/17 23:57,
8.22956E+17,"#BoycottNFL its dead to me #NFLRatings will tank even more next yearI am working on destroying liberalism as a Civ‰Û_ https://t.co/bZILXv1ASC",Twitter Web Client,1/21/17 23:57,
8.22956E+17,Prepare for disappearing credit cards https://t.co/pRSjW556N2 #TrumpTransition #PresidentElectTrump #MAGA #privacy,Tweet Old Post,1/21/17 23:56,
8.22956E+17,@andieiamwhoiam @CNN @jaketapper @VanJones68 @MSNBC @maddow @MeetThePress @HardballChris The fake news media hates‰Û_ https://t.co/dWdPlDx6Xu,Twitter for iPhone,1/21/17 23:56,
8.22956E+17,@andieiamwhoiam @CNN @jaketapper @VanJones68 @MSNBC @maddow @MeetThePress @HardballChris The fake news media hates‰Û_ https://t.co/dWdPlDx6Xu,Twitter for iPhone,1/21/17 23:56,
